"F1SEQ1_MAJOR","F1SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.924731182795699
"ACCT","AEDG",0.010752688172043
"ACCT","BMGT",0.010752688172043
"ACCT","MKTG",0.010752688172043
"ACCT","NEWS",0.010752688172043
"ACCT","PH",0.010752688172043
"ACCT","PHDF",0.010752688172043
"ACCT","PNUR",0.010752688172043
"ADV","ADV",1
"AEDG","AEDG",0.333333333333333
"AEDG","AENG",0.333333333333333
"AEDG","BMGT",0.333333333333333
"AENG","AENG",1
"AERN","AERN",1
"ARCH","ARCH",1
"ARCS","ARCS",1
"ATTR","ATTR",0.666666666666667
"ATTR","EXSI",0.333333333333333
"BMGT","ACCT",0.00636942675159236
"BMGT","BMGT",0.878980891719745
"BMGT","BUSU",0.00636942675159236
"BMGT","CIS",0.00636942675159236
"BMGT","ECON",0.0127388535031847
"BMGT","ENTR",0.0127388535031847
"BMGT","EXPL",0.00636942675159236
"BMGT","FIN",0.00636942675159236
"BMGT","FM",0.00636942675159236
"BMGT","HSPM",0.00636942675159236
"BMGT","MMTG",0.0127388535031847
"BMGT","NEWS",0.00636942675159236
"BMGT","PH",0.00636942675159236
"BMGT","PSYC",0.00636942675159236
"BMGT","SPAD",0.00636942675159236
"BMGT","SPED",0.00636942675159236
"BMGT","UNDECLARED",0.00636942675159236
"BSCI","BSCI",0.333333333333333
"BSCI","CHEM",0.333333333333333
"BSCI","PH",0.333333333333333
"BTEC","ENTR",0.5
"BTEC","INSS",0.5
"BUSU","BMGT",0.5
"BUSU","BUSU",0.5
"CAG","CAG",1
"CHEM","CHEM",1
"CIS","CIS",0.9375
"CIS","CS",0.0625
"CONS","INSS",1
"CRFT","CRFT",1
"CRJU","ACCT",1
"CS","AERN",0.1
"CS","BMGT",0.1
"CS","CS",0.7
"CS","MKTG",0.1
"ECON","ECON",0.857142857142857
"ECON","MMTG",0.142857142857143
"EHSG","EHSG",0.5
"EHSG","MCED",0.5
"ELMD","ELMD",1
"ENG","VCD",1
"ENTR","ENTR",0.8
"ENTR","EXPL",0.05
"ENTR","FM",0.05
"ENTR","MMTG",0.1
"EXPL","BMGT",0.0181818181818182
"EXPL","CRJU",0.0181818181818182
"EXPL","EXPL",0.854545454545455
"EXPL","FIN",0.0181818181818182
"EXPL","FM",0.0181818181818182
"EXPL","MKTG",0.0181818181818182
"EXPL","NUTR",0.0181818181818182
"EXPL","PH",0.0363636363636364
"EXSI","EXSI",0.333333333333333
"EXSI","MMTG",0.333333333333333
"EXSI","PH",0.333333333333333
"FIN","AEDG",0.0256410256410256
"FIN","FIN",0.974358974358974
"FM","FM",0.5
"FM","MMTG",0.25
"FM","SPTR",0.25
"HIST","CIS",0.5
"HIST","CRJU",0.5
"ID","ID",1
"IHS","IHS",1
"IMTH","IMTH",1
"INSS","IMTH",0.5
"INSS","INSS",0.5
"ISCI","ISCI",1
"MATH","MATH",1
"MEDT","BSCI",1
"MKTG","ADV",0.0181818181818182
"MKTG","FIN",0.0181818181818182
"MKTG","GER",0.0181818181818182
"MKTG","HSPM",0.0181818181818182
"MKTG","MKTG",0.690909090909091
"MKTG","MMTG",0.163636363636364
"MKTG","NEWS",0.0181818181818182
"MKTG","PHIL",0.0181818181818182
"MKTG","PSPA",0.0181818181818182
"MKTG","PSYC",0.0181818181818182
"MMTG","MMTG",1
"NEWS","NEWS",1
"OPMG","OPMG",1
"PACT","PACT",1
"PBMT","EXPL",0.0909090909090909
"PBMT","PBMT",0.909090909090909
"PENT","PENT",1
"PFIN","FIN",0.2
"PFIN","PFIN",0.8
"PH","PH",1
"PHY","PHY",1
"PMKT","MKTG",0.5
"PMKT","PMKT",0.5
"PMMT","PMMT",1
"PNUR","ACCT",0.125
"PNUR","EXPL",0.125
"PNUR","IHS",0.125
"PNUR","IMTH",0.125
"PNUR","PNUR",0.375
"PNUR","PSYC",0.125
"POL","POL",1
"POMT","CS",1
"PSPA","MMTG",1
"SPAD","ACCT",0.142857142857143
"SPAD","ISCI",0.142857142857143
"SPAD","MMTG",0.142857142857143
"SPAD","SPAD",0.571428571428571
"THEA","THEA",1
"VCD","VCD",1
"ZOOL","ENTR",0.333333333333333
"ZOOL","EXPL",0.333333333333333
"ZOOL","ZOOL",0.333333333333333
