"F2SEQ2_MAJOR","S2SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.91566265060241
"ACCT","BMGT",0.036144578313253
"ACCT","FIN",0.0240963855421687
"ACCT","MMTG",0.0120481927710843
"ACCT","UNDECLARED",0.0120481927710843
"ACM","ACM",1
"ADV","ADV",0.5
"ADV","COMM",0.5
"AENG","AENG",0.666666666666667
"AENG","BMGT",0.333333333333333
"AERN","AERN",1
"AMTH","AMTH",1
"ARCH","ARCH",0.5
"ARCH","MMTG",0.5
"ARTS","ARTS",1
"ATTR","ATTR",0.75
"ATTR","UNDECLARED",0.25
"BMGT","ACCT",0.0194174757281553
"BMGT","BMGT",0.844660194174757
"BMGT","CIS",0.00970873786407767
"BMGT","ECON",0.00970873786407767
"BMGT","FIN",0.00970873786407767
"BMGT","MKTG",0.00970873786407767
"BMGT","MMTG",0.0194174757281553
"BMGT","PH",0.00970873786407767
"BMGT","PHIL",0.00970873786407767
"BMGT","UNDECLARED",0.058252427184466
"BSCI","BSCI",0.5
"BSCI","ECON",0.5
"BUSU","BUSU",0.5
"BUSU","MKTG",0.5
"CHEM","CS",1
"CIS","BMGT",0.0588235294117647
"CIS","CIS",0.882352941176471
"CIS","CS",0.0588235294117647
"COMM","COMM",0.5
"COMM","UNDECLARED",0.5
"CRFT","MMTG",1
"CRJU","ACCT",0.2
"CRJU","CRJU",0.6
"CRJU","UNDECLARED",0.2
"CS","CS",1
"ECB","ECB",0.5
"ECB","ENTR",0.5
"ECDE","BMGT",0.5
"ECDE","ECDE",0.5
"ECON","ECON",0.916666666666667
"ECON","UNDECLARED",0.0833333333333333
"EDST","EDST",1
"ELMD","CIS",1
"ENG","ENG",1
"ENTR","ENTR",0.952380952380952
"ENTR","UNDECLARED",0.0476190476190476
"EXPL","ACCT",0.0714285714285714
"EXPL","BMGT",0.142857142857143
"EXPL","ECON",0.0714285714285714
"EXPL","EXPL",0.5
"EXPL","MKTG",0.142857142857143
"EXPL","PH",0.0714285714285714
"EXSI","SPA",1
"FIN","ACCT",0.0208333333333333
"FIN","BMGT",0.0208333333333333
"FIN","BSCI",0.0208333333333333
"FIN","FIN",0.875
"FIN","UNDECLARED",0.0625
"FM","ENTR",0.25
"FM","FM",0.5
"FM","UNDECLARED",0.25
"GEOG","GEOG",1
"GEOL","GEOL",1
"GER","UNDECLARED",1
"HSPM","BMGT",0.333333333333333
"HSPM","HSPM",0.333333333333333
"HSPM","PHDF",0.333333333333333
"ID","ID",0.5
"ID","MKTG",0.5
"IHS","IHS",1
"IMTH","ACCT",1
"INSS","MMTG",1
"MATH","FIN",0.5
"MATH","MATH",0.5
"MCED","IMTH",0.5
"MCED","PEP",0.5
"MEDT","MEDT",1
"MKTG","EXPL",0.0263157894736842
"MKTG","MKTG",0.815789473684211
"MKTG","MMTG",0.131578947368421
"MKTG","UNDECLARED",0.0263157894736842
"MMTG","ADV",0.032258064516129
"MMTG","MMTG",0.903225806451613
"MMTG","SPAD",0.032258064516129
"MMTG","UNDECLARED",0.032258064516129
"NEWS","NEWS",1
"NUTR","NUTR",1
"OPMG","OPMG",1
"PACT","ACCT",1
"PBMT","BMGT",0.2
"PBMT","COMM",0.2
"PBMT","PBMT",0.6
"PEP","PEP",1
"PFDM","PFDM",1
"PFIN","PFIN",1
"PH","FIN",0.142857142857143
"PH","PH",0.857142857142857
"PHDF","PHDF",1
"PHOI","PHOI",1
"PMKT","BMGT",1
"PNUR","COMM",0.333333333333333
"PNUR","FIN",0.333333333333333
"PNUR","PNUR",0.333333333333333
"POL","POL",1
"PSYC","PSYC",1
"SPAD","BMGT",0.4
"SPAD","SPAD",0.6
"SPAN","BMGT",1
"SPED","SPED",1
"TECH","TECH",1
"THEA","FIN",1
"UNDECLARED","ACCT",0.019047619047619
"UNDECLARED","BMGT",0.019047619047619
"UNDECLARED","EXPL",0.00952380952380952
"UNDECLARED","FIN",0.019047619047619
"UNDECLARED","MMTG",0.00952380952380952
"UNDECLARED","UNDECLARED",0.923809523809524
"VCD","BMRT",0.142857142857143
"VCD","MKTG",0.142857142857143
"VCD","MMTG",0.142857142857143
"VCD","UNDECLARED",0.142857142857143
"VCD","VCD",0.428571428571429
